University_Name,Region,Academic_Year,Course_Name,Degree_Level,Subject_Area,Applications_Received,Offers_Made,Students_Admitted,Acceptance_Rate,Enrolment_Rate,Employment_After_6_Months_prcntge,Further_Study_Rate_prcntge,Unemployment_Rate_prcntge,Avg_Salary_GBP,Top_Job_Sector,Student_Population,International_Students_prcntge,Male_Female_Ratio,Student_Satisfaction_Score
University of Oxford,Greater London,2018-2019,Mechanical Engineering (Undergraduate),Undergraduate,Mechanical Engineering,2348,2095,1923,0.89,0.92,91.74,7.06,1.2,29466,Legal,13789,11.19,0.71,87.23
University of Oxford,Greater London,2019-2020,Mechanical Engineering (Postgraduate),Postgraduate,Mechanical Engineering,4870,3206,2863,0.66,0.89,89.4,7.8,2.8,36012,Education,23143,10.58,1.27,82.33
University of Oxford,Greater London,2020-2021,Mechanical Engineering (Postgraduate),Postgraduate,Mechanical Engineering,1024,536,450,0.52,0.84,74.48,6.43,19.09,49527,Healthcare,22860,32.17,1.21,92.59
University of Oxford,Greater London,2021-2022,Mechanical Engineering (Postgraduate),Postgraduate,Mechanical Engineering,2605,1646,1041,0.63,0.63,68.07,17.49,14.44,48682,Finance,27379,37.8,0.74,84.49
University of Oxford,Greater London,2022-2023,Mechanical Engineering (Undergraduate),Undergraduate,Mechanical Engineering,4152,3103,2184,0.75,0.7,90.67,16.2,-6.87,35274,Education,30667,30.05,0.72,65.39
University of Oxford,Greater London,2018-2019,Psychology (Undergraduate),Undergraduate,Psychology,4690,2764,2300,0.59,0.83,87.38,5.58,7.04,36068,IT,25355,19.48,1.28,87.25
University of Oxford,Greater London,2019-2020,Psychology (Postgraduate),Postgraduate,Psychology,4841,4132,2833,0.85,0.69,71.45,18.03,10.52,47552,Arts,37702,7.7,0.84,81.79
University of Oxford,Greater London,2020-2021,Psychology (Postgraduate),Postgraduate,Psychology,3412,1934,1265,0.57,0.65,63.17,10.74,26.09,47092,Science,37585,27.99,0.79,82.76
University of Oxford,Greater London,2021-2022,Psychology (Postgraduate),Postgraduate,Psychology,1555,834,514,0.54,0.62,67.69,8.02,24.29,48816,IT,24809,7.46,0.77,80.2
University of Oxford,Greater London,2022-2023,Psychology (Undergraduate),Undergraduate,Psychology,2192,1230,1097,0.56,0.89,64.49,10.05,25.46,49404,Healthcare,20922,19.07,0.94,70.57
University of Oxford,Greater London,2018-2019,Medicine (Postgraduate),Postgraduate,Medicine,4643,2782,2596,0.6,0.93,90.31,6.26,3.43,26267,Healthcare,21954,5.74,0.84,67.7
University of Oxford,Greater London,2019-2020,Medicine (Postgraduate),Postgraduate,Medicine,4696,3797,3395,0.81,0.89,60.56,7.64,31.8,44223,Engineering,24783,11.45,1.01,82.3
University of Oxford,Greater London,2020-2021,Medicine (Undergraduate),Undergraduate,Medicine,3698,3018,2123,0.82,0.7,73.9,15.45,10.65,35434,Engineering,11424,14.39,1.29,91.54
University of Oxford,Greater London,2021-2022,Medicine (Postgraduate),Postgraduate,Medicine,3412,2025,1607,0.59,0.79,86.77,6.07,7.16,35994,Education,14785,9.94,0.75,76.88
University of Oxford,Greater London,2022-2023,Medicine (Undergraduate),Undergraduate,Medicine,4255,2826,2069,0.66,0.73,70.93,5.85,23.22,41004,Finance,16151,6.1,1.04,78.34
University of Oxford,Greater London,2018-2019,Law (Undergraduate),Undergraduate,Law,2275,1405,1272,0.62,0.91,76.17,9.27,14.56,40566,IT,38646,37.79,1.29,69.84
University of Oxford,Greater London,2019-2020,Law (Postgraduate),Postgraduate,Law,1868,1061,952,0.57,0.9,61.76,6.49,31.75,40837,Arts,28505,19.27,0.86,79.64
University of Oxford,Greater London,2020-2021,Law (Undergraduate),Undergraduate,Law,2933,1959,1694,0.67,0.86,69.08,17.83,13.09,34780,Education,29250,8.35,1.1,80.51
University of Oxford,Greater London,2021-2022,Law (Postgraduate),Postgraduate,Law,2241,1564,955,0.7,0.61,80.57,5.4,14.03,45981,Arts,15871,27.19,0.82,94.07
University of Oxford,Greater London,2022-2023,Law (Undergraduate),Undergraduate,Law,2606,2303,1396,0.88,0.61,92.62,19.62,-12.24,33991,Education,35515,22.62,1.03,66.24
University of Oxford,Greater London,2018-2019,Economics (Postgraduate),Postgraduate,Economics,2238,1539,930,0.69,0.6,60.24,11.32,28.44,27444,IT,14259,38.8,1.27,67.71
University of Oxford,Greater London,2019-2020,Economics (Postgraduate),Postgraduate,Economics,3647,2024,1791,0.55,0.88,93.81,18.15,-11.96,38423,Science,14308,28.82,1.28,66.25
University of Oxford,Greater London,2020-2021,Economics (Postgraduate),Postgraduate,Economics,409,280,228,0.68,0.81,63.31,6.28,30.41,31342,IT,31973,27.62,0.82,84.29
University of Oxford,Greater London,2021-2022,Economics (Undergraduate),Undergraduate,Economics,1015,715,640,0.7,0.9,83.24,7.09,9.67,48115,Arts,27127,30.64,0.86,81.26
University of Oxford,Greater London,2022-2023,Economics (Undergraduate),Undergraduate,Economics,3839,3011,2225,0.78,0.74,94.93,6.74,-1.67,33064,Legal,37521,28.19,0.84,62.98
University of Oxford,Greater London,2018-2019,Biological Sciences (Undergraduate),Undergraduate,Biological Sciences,4243,2761,2098,0.65,0.76,77.34,5.36,17.3,32785,Engineering,26167,10.83,1.22,70.31
University of Oxford,Greater London,2019-2020,Biological Sciences (Postgraduate),Postgraduate,Biological Sciences,2080,1833,1569,0.88,0.86,85.65,9.82,4.53,28459,Arts,13188,9.26,1,94.27
University of Oxford,Greater London,2020-2021,Biological Sciences (Postgraduate),Postgraduate,Biological Sciences,4744,4104,3342,0.87,0.81,77.54,9.8,12.66,40979,Education,35629,15.77,0.91,67.76
University of Oxford,Greater London,2021-2022,Biological Sciences (Undergraduate),Undergraduate,Biological Sciences,3463,1909,1217,0.55,0.64,68.89,13.15,17.96,47132,Arts,17824,32.73,1.03,86.76
University of Oxford,Greater London,2022-2023,Biological Sciences (Postgraduate),Postgraduate,Biological Sciences,4772,4002,2570,0.84,0.64,90.44,11.27,-1.71,30539,Finance,24322,25.12,0.74,72.12
University of Oxford,Greater London,2018-2019,Education (Postgraduate),Postgraduate,Education,2832,2505,1567,0.88,0.63,75.72,16.8,7.48,33102,Education,15665,24.66,1.17,69.41
University of Oxford,Greater London,2019-2020,Education (Undergraduate),Undergraduate,Education,1223,773,521,0.63,0.67,94.56,8.28,-2.84,36894,Healthcare,14326,25.82,0.73,92.1
University of Oxford,Greater London,2020-2021,Education (Undergraduate),Undergraduate,Education,3589,2426,1829,0.68,0.75,85.87,18.86,-4.73,22536,Education,32341,12.16,0.92,74.96
University of Oxford,Greater London,2021-2022,Education (Undergraduate),Undergraduate,Education,4603,2769,2324,0.6,0.84,68.42,8.41,23.17,40362,Arts,11389,9.43,1.05,72.39
University of Oxford,Greater London,2022-2023,Education (Undergraduate),Undergraduate,Education,761,677,478,0.89,0.71,72.69,9.05,18.26,48935,Legal,28447,19.84,1.13,90.31
University of Oxford,Greater London,2018-2019,History (Postgraduate),Postgraduate,History,2651,1767,1320,0.67,0.75,93.65,6.71,-0.36,36946,Finance,19690,39.99,0.85,65.9
University of Oxford,Greater London,2019-2020,History (Postgraduate),Postgraduate,History,4624,2722,1718,0.59,0.63,64.61,13.47,21.92,43817,Science,11560,20.74,0.95,80.9
University of Oxford,Greater London,2020-2021,History (Undergraduate),Undergraduate,History,2056,1567,1315,0.76,0.84,78.18,7.53,14.29,37369,Finance,32684,31.87,0.95,68.01
University of Oxford,Greater London,2021-2022,History (Postgraduate),Postgraduate,History,2312,1443,1270,0.62,0.88,78.28,9.66,12.06,39256,Finance,25155,25.51,1.05,79.12
University of Oxford,Greater London,2022-2023,History (Postgraduate),Postgraduate,History,4358,3874,2619,0.89,0.68,77.12,17.12,5.76,49113,IT,17538,13.38,0.81,94.98
University of Oxford,Greater London,2018-2019,Physics (Postgraduate),Postgraduate,Physics,2397,1668,1265,0.7,0.76,69.84,19.84,10.32,25610,Science,8113,29.03,0.92,90.77
University of Oxford,Greater London,2019-2020,Physics (Postgraduate),Postgraduate,Physics,1342,726,535,0.54,0.74,60.08,12.68,27.24,38752,Finance,21758,5.89,0.74,88.71
University of Oxford,Greater London,2020-2021,Physics (Undergraduate),Undergraduate,Physics,3429,2958,1969,0.86,0.67,79,7.97,13.03,33267,Science,22467,8.07,0.74,93.98
University of Oxford,Greater London,2021-2022,Physics (Postgraduate),Postgraduate,Physics,2299,1683,1356,0.73,0.81,70.11,16.29,13.6,35830,Arts,29593,12.59,0.92,88.42
University of Oxford,Greater London,2022-2023,Physics (Undergraduate),Undergraduate,Physics,4903,3844,3391,0.78,0.88,91.18,12.26,-3.44,31090,Finance,27168,33.26,1.01,80.07
University of Oxford,Greater London,2018-2019,Mathematics (Undergraduate),Undergraduate,Mathematics,328,195,130,0.59,0.67,93.1,12.66,-5.76,41617,Education,29701,29.85,1.09,65.56
University of Oxford,Greater London,2019-2020,Mathematics (Postgraduate),Postgraduate,Mathematics,2053,1044,755,0.51,0.72,82.13,15.9,1.97,35531,Education,28974,38.18,0.9,89.39
University of Oxford,Greater London,2020-2021,Mathematics (Undergraduate),Undergraduate,Mathematics,1830,1269,1090,0.69,0.86,74.16,14.83,11.01,39653,Engineering,25769,36.9,0.86,61.11
University of Oxford,Greater London,2021-2022,Mathematics (Undergraduate),Undergraduate,Mathematics,2648,2177,1515,0.82,0.7,81.45,16.88,1.67,31187,Science,31073,8.28,1.12,87.59
University of Oxford,Greater London,2022-2023,Mathematics (Undergraduate),Undergraduate,Mathematics,718,572,537,0.8,0.94,92.21,17.05,-9.26,27077,Science,39974,34.06,1.09,89.35
University of Cambridge,South East,2018-2019,Computer Science (Undergraduate),Undergraduate,Computer Science,4829,2831,2202,0.59,0.78,75.12,9.45,15.43,43039,Healthcare,20657,23.55,0.9,67.11
University of Cambridge,South East,2019-2020,Computer Science (Undergraduate),Undergraduate,Computer Science,2939,1483,1334,0.5,0.9,76.05,16.91,7.04,48285,Legal,38111,8.35,1.12,91.33
University of Cambridge,South East,2020-2021,Computer Science (Undergraduate),Undergraduate,Computer Science,4555,3047,2782,0.67,0.91,81.78,12.5,5.72,47182,IT,18136,5.35,0.87,88.82
University of Cambridge,South East,2021-2022,Computer Science (Undergraduate),Undergraduate,Computer Science,2307,1808,1477,0.78,0.82,64.1,17.83,18.07,41128,Education,37887,24.6,0.8,91.07
University of Cambridge,South East,2022-2023,Computer Science (Undergraduate),Undergraduate,Computer Science,2743,2360,1581,0.86,0.67,92.63,17.63,-10.26,43425,Engineering,36830,10.01,1.05,74.45
University of Cambridge,South East,2018-2019,Business and Management (Undergraduate),Undergraduate,Business and Management,1951,1387,1014,0.71,0.73,72.11,8.71,19.18,28242,IT,27322,37.46,0.76,84.73
University of Cambridge,South East,2019-2020,Business and Management (Postgraduate),Postgraduate,Business and Management,3365,1867,1343,0.55,0.72,69.49,13.31,17.2,45437,Finance,8274,30.63,1.06,84.93
University of Cambridge,South East,2020-2021,Business and Management (Undergraduate),Undergraduate,Business and Management,627,386,261,0.62,0.68,67.94,15.11,16.95,49991,Engineering,16515,17.72,0.79,82.38
University of Cambridge,South East,2021-2022,Business and Management (Postgraduate),Postgraduate,Business and Management,1139,593,562,0.52,0.95,76.49,5.85,17.66,43997,Engineering,29459,5.49,1.15,82.4
University of Cambridge,South East,2022-2023,Business and Management (Undergraduate),Undergraduate,Business and Management,3863,3175,2149,0.82,0.68,63.48,5.35,31.17,35571,IT,16779,11.43,1.05,94.45
University of Cambridge,South East,2018-2019,Mechanical Engineering (Postgraduate),Postgraduate,Mechanical Engineering,2856,1635,1550,0.57,0.95,64.3,19.27,16.43,45990,Legal,9309,13.01,1.14,91.62
University of Cambridge,South East,2019-2020,Mechanical Engineering (Postgraduate),Postgraduate,Mechanical Engineering,1018,701,537,0.69,0.77,68.4,11.17,20.43,38686,Finance,31570,12.68,1.14,94.84
University of Cambridge,South East,2020-2021,Mechanical Engineering (Postgraduate),Postgraduate,Mechanical Engineering,969,804,507,0.83,0.63,79.29,7.08,13.63,42861,Engineering,34749,34.93,0.71,70.79
University of Cambridge,South East,2021-2022,Mechanical Engineering (Undergraduate),Undergraduate,Mechanical Engineering,3486,3013,2446,0.86,0.81,78.03,6.32,15.65,33078,Arts,11203,14.48,0.8,76.01
University of Cambridge,South East,2022-2023,Mechanical Engineering (Undergraduate),Undergraduate,Mechanical Engineering,3133,2118,1852,0.68,0.87,76.52,7.63,15.85,29362,Finance,8316,6.64,0.79,65.22
University of Cambridge,South East,2018-2019,Psychology (Undergraduate),Undergraduate,Psychology,1836,929,715,0.51,0.77,68.16,13.39,18.45,24639,Engineering,12155,24.11,0.75,75.46
University of Cambridge,South East,2019-2020,Psychology (Undergraduate),Undergraduate,Psychology,3958,2445,1919,0.62,0.78,70.84,7.1,22.06,48721,Engineering,29361,21.02,0.76,88.9
University of Cambridge,South East,2020-2021,Psychology (Postgraduate),Postgraduate,Psychology,2726,2337,1880,0.86,0.8,72.43,5.59,21.98,47451,Healthcare,39387,26.45,1.29,77.24
University of Cambridge,South East,2021-2022,Psychology (Undergraduate),Undergraduate,Psychology,4904,4122,3472,0.84,0.84,85.24,15.49,-0.73,46471,Science,16237,17.33,0.71,82.53
University of Cambridge,South East,2022-2023,Psychology (Undergraduate),Undergraduate,Psychology,2860,1859,1378,0.65,0.74,82.1,12.69,5.21,49476,Arts,14583,29.25,1.22,61.13
University of Cambridge,South East,2018-2019,Medicine (Undergraduate),Undergraduate,Medicine,4085,2501,1516,0.61,0.61,60.01,16,23.99,22244,Education,16210,7.02,1.21,91.97
University of Cambridge,South East,2019-2020,Medicine (Undergraduate),Undergraduate,Medicine,2779,2351,2103,0.85,0.89,66.81,18.94,14.25,47276,Legal,11755,12.47,1.26,89.96
University of Cambridge,South East,2020-2021,Medicine (Postgraduate),Postgraduate,Medicine,1501,1118,782,0.74,0.7,92.23,15.48,-7.71,22643,Science,22117,18.21,1.25,93.66
University of Cambridge,South East,2021-2022,Medicine (Postgraduate),Postgraduate,Medicine,4227,2347,1433,0.56,0.61,64.44,10.13,25.43,36380,Education,24311,7.05,0.99,89.98
University of Cambridge,South East,2022-2023,Medicine (Postgraduate),Postgraduate,Medicine,377,253,152,0.67,0.6,77.74,15.65,6.61,32930,Finance,25964,5.83,0.71,86.17
University of Cambridge,South East,2018-2019,Law (Undergraduate),Undergraduate,Law,4072,3611,2834,0.89,0.78,62.03,6.53,31.44,35051,Engineering,35106,37.16,1.05,64.7
University of Cambridge,South East,2019-2020,Law (Undergraduate),Undergraduate,Law,1610,1240,1042,0.77,0.84,68.41,9.56,22.03,32615,Healthcare,32688,29.94,1.13,82.48
University of Cambridge,South East,2020-2021,Law (Postgraduate),Postgraduate,Law,4297,3816,2642,0.89,0.69,68.46,5.47,26.07,40988,Legal,29607,17.64,0.88,67.72
University of Cambridge,South East,2021-2022,Law (Undergraduate),Undergraduate,Law,2297,1457,1071,0.63,0.74,72.46,18.61,8.93,37922,Education,35420,14.58,1.09,89.05
University of Cambridge,South East,2022-2023,Law (Undergraduate),Undergraduate,Law,2301,1427,898,0.62,0.63,80.61,11.97,7.42,33705,Arts,10828,28.55,0.75,79
University of Cambridge,South East,2018-2019,Economics (Postgraduate),Postgraduate,Economics,2659,1416,868,0.53,0.61,90.84,6.24,2.92,48553,Healthcare,39553,31.04,0.93,63.45
University of Cambridge,South East,2019-2020,Economics (Undergraduate),Undergraduate,Economics,3112,2727,2534,0.88,0.93,63.21,9.09,27.7,41530,Engineering,39084,32.71,0.75,79.36
University of Cambridge,South East,2020-2021,Economics (Undergraduate),Undergraduate,Economics,2974,2495,2175,0.84,0.87,90.88,5.21,3.91,28831,IT,14328,7.82,1.23,86.24
University of Cambridge,South East,2021-2022,Economics (Postgraduate),Postgraduate,Economics,4219,3392,2839,0.8,0.84,65.72,9.65,24.63,48962,Arts,31611,7.96,1.03,88.8
University of Cambridge,South East,2022-2023,Economics (Undergraduate),Undergraduate,Economics,3040,1731,1329,0.57,0.77,91.68,19.66,-11.34,35190,Legal,9694,39.54,1.15,79.8
University of Cambridge,South East,2018-2019,Biological Sciences (Undergraduate),Undergraduate,Biological Sciences,4236,3134,2799,0.74,0.89,73.95,12.22,13.83,33493,Science,11020,17.88,1.21,67.47
University of Cambridge,South East,2019-2020,Biological Sciences (Postgraduate),Postgraduate,Biological Sciences,3673,2314,1842,0.63,0.8,84.44,19.83,-4.27,30670,Arts,13530,37.26,0.95,69.96
University of Cambridge,South East,2020-2021,Biological Sciences (Undergraduate),Undergraduate,Biological Sciences,2190,1378,1032,0.63,0.75,77.5,15.15,7.35,36449,Healthcare,10771,18.25,1.28,75.03
University of Cambridge,South East,2021-2022,Biological Sciences (Postgraduate),Postgraduate,Biological Sciences,4867,3477,2559,0.71,0.74,74.82,15.11,10.07,34808,Science,21760,32.87,0.8,89.24
University of Cambridge,South East,2022-2023,Biological Sciences (Undergraduate),Undergraduate,Biological Sciences,1629,1175,1061,0.72,0.9,84.7,13.01,2.29,28282,Engineering,28819,30.13,1.17,83.96
University of Cambridge,South East,2018-2019,Education (Undergraduate),Undergraduate,Education,989,747,709,0.76,0.95,83.83,11.6,4.57,44912,Healthcare,13396,36.34,1.29,60.71
University of Cambridge,South East,2019-2020,Education (Postgraduate),Postgraduate,Education,4201,3197,2164,0.76,0.68,68.2,13.88,17.92,26214,Education,25938,9.28,0.72,73.03
University of Cambridge,South East,2020-2021,Education (Postgraduate),Postgraduate,Education,3967,3162,2082,0.8,0.66,80.62,13.31,6.07,32883,Healthcare,17478,34.66,1.06,67.25
University of Cambridge,South East,2021-2022,Education (Postgraduate),Postgraduate,Education,1547,1172,939,0.76,0.8,72.34,6.71,20.95,33697,Education,39702,8.22,1.24,86.55
University of Cambridge,South East,2022-2023,Education (Undergraduate),Undergraduate,Education,4997,2640,1727,0.53,0.65,87.99,12.77,-0.76,23313,IT,20859,38.89,1.1,78.52
University of Cambridge,South East,2018-2019,History (Undergraduate),Undergraduate,History,820,727,523,0.89,0.72,78,8.81,13.19,22157,Education,36682,6.15,0.73,61.44
University of Cambridge,South East,2019-2020,History (Postgraduate),Postgraduate,History,1065,846,520,0.79,0.61,91.76,13.12,-4.88,45175,Healthcare,13941,20.29,1.07,65.85
University of Cambridge,South East,2020-2021,History (Postgraduate),Postgraduate,History,4035,3462,2741,0.86,0.79,66.38,18.22,15.4,38803,Education,18061,20.35,0.93,92.72
University of Cambridge,South East,2021-2022,History (Undergraduate),Undergraduate,History,1466,819,746,0.56,0.91,73.06,13.98,12.96,33562,Legal,37302,9.41,0.8,67.65
University of Cambridge,South East,2022-2023,History (Undergraduate),Undergraduate,History,4770,3819,2785,0.8,0.73,86.58,12.3,1.12,45928,Healthcare,26497,15.62,0.82,81.7
University of Cambridge,South East,2018-2019,Physics (Postgraduate),Postgraduate,Physics,3962,2748,2250,0.69,0.82,72.21,7,20.79,24604,Healthcare,14918,24.17,1.29,61.64
University of Cambridge,South East,2019-2020,Physics (Undergraduate),Undergraduate,Physics,725,473,423,0.65,0.89,84.26,5.92,9.82,24387,Legal,19011,35.9,0.98,84.14
University of Cambridge,South East,2020-2021,Physics (Postgraduate),Postgraduate,Physics,469,344,297,0.73,0.86,85.27,16.3,-1.57,32147,Legal,29336,37.94,0.9,94.51
University of Cambridge,South East,2021-2022,Physics (Postgraduate),Postgraduate,Physics,2561,1670,1145,0.65,0.69,68.9,5.55,25.55,43619,Arts,27523,18.68,0.81,83.74
University of Cambridge,South East,2022-2023,Physics (Undergraduate),Undergraduate,Physics,4774,3386,2940,0.71,0.87,87.23,13.57,-0.8,46626,Finance,31361,29.38,0.89,77.52
University of Cambridge,South East,2018-2019,Mathematics (Undergraduate),Undergraduate,Mathematics,1217,832,579,0.68,0.7,67.66,12.76,19.58,49372,Education,35196,38.48,1.05,74.71
University of Cambridge,South East,2019-2020,Mathematics (Undergraduate),Undergraduate,Mathematics,3404,2873,2355,0.84,0.82,94.42,5.77,-0.19,35705,Education,11640,28.28,1.23,93.5
University of Cambridge,South East,2020-2021,Mathematics (Postgraduate),Postgraduate,Mathematics,4803,3417,3054,0.71,0.89,82.68,9.44,7.88,38801,Education,34588,6.64,1.29,76.93
University of Cambridge,South East,2021-2022,Mathematics (Postgraduate),Postgraduate,Mathematics,2887,2317,2174,0.8,0.94,66.73,15.7,17.57,30117,Arts,37357,39.09,0.94,87.58
University of Cambridge,South East,2022-2023,Mathematics (Postgraduate),Postgraduate,Mathematics,1033,660,438,0.64,0.66,83.51,5.7,10.79,28445,Science,25610,34.32,0.88,73.56
Imperial College London,Yorkshire and the Humber,2018-2019,Computer Science (Postgraduate),Postgraduate,Computer Science,4075,2912,1913,0.71,0.66,76.15,5.17,18.68,38993,Education,27397,19.24,1.12,92.05
Imperial College London,Yorkshire and the Humber,2019-2020,Computer Science (Undergraduate),Undergraduate,Computer Science,2478,1664,1333,0.67,0.8,65.72,14.5,19.78,42852,Healthcare,19849,32.33,0.91,81.69
Imperial College London,Yorkshire and the Humber,2020-2021,Computer Science (Postgraduate),Postgraduate,Computer Science,883,777,483,0.88,0.62,65.39,15.28,19.33,47149,Education,34169,26.41,0.95,61.72
Imperial College London,Yorkshire and the Humber,2021-2022,Computer Science (Undergraduate),Undergraduate,Computer Science,3207,2725,2452,0.85,0.9,83.78,5.47,10.75,45792,Healthcare,23027,8.57,1.18,64.06
Imperial College London,Yorkshire and the Humber,2022-2023,Computer Science (Postgraduate),Postgraduate,Computer Science,3953,2632,2407,0.67,0.91,85.52,5.58,8.9,33364,Finance,38193,13.69,1.15,62.67
Imperial College London,Yorkshire and the Humber,2018-2019,Business and Management (Undergraduate),Undergraduate,Business and Management,470,250,156,0.53,0.62,62.7,17.46,19.84,49064,Science,12696,37.05,0.77,60.12
Imperial College London,Yorkshire and the Humber,2019-2020,Business and Management (Postgraduate),Postgraduate,Business and Management,2542,1865,1506,0.73,0.81,90.57,8.13,1.3,26208,Legal,15324,37.81,1.15,87.21
Imperial College London,Yorkshire and the Humber,2020-2021,Business and Management (Postgraduate),Postgraduate,Business and Management,2879,2423,1501,0.84,0.62,70.96,10.81,18.23,38434,Engineering,16255,36.09,1.14,89.76
Imperial College London,Yorkshire and the Humber,2021-2022,Business and Management (Postgraduate),Postgraduate,Business and Management,1492,778,688,0.52,0.88,93.4,11.58,-4.98,44606,Legal,39682,8.02,0.72,94.83
Imperial College London,Yorkshire and the Humber,2022-2023,Business and Management (Undergraduate),Undergraduate,Business and Management,1420,1134,727,0.8,0.64,65.57,15.61,18.82,44468,Legal,22450,39.21,1.13,81.18
Imperial College London,Yorkshire and the Humber,2018-2019,Mechanical Engineering (Postgraduate),Postgraduate,Mechanical Engineering,4519,2737,2261,0.61,0.83,76.04,19.22,4.74,34796,Engineering,32025,5.65,0.76,76.16
Imperial College London,Yorkshire and the Humber,2019-2020,Mechanical Engineering (Postgraduate),Postgraduate,Mechanical Engineering,1990,1564,1088,0.79,0.7,84.61,6.66,8.73,43095,IT,20547,25,0.96,75.33
Imperial College London,Yorkshire and the Humber,2020-2021,Mechanical Engineering (Postgraduate),Postgraduate,Mechanical Engineering,4225,3583,3009,0.85,0.84,75.72,7.64,16.64,31612,Healthcare,26639,13.32,1.08,67.9
Imperial College London,Yorkshire and the Humber,2021-2022,Mechanical Engineering (Postgraduate),Postgraduate,Mechanical Engineering,3115,1835,1354,0.59,0.74,65.55,5.26,29.19,32428,Arts,34122,36.73,0.92,73.7
Imperial College London,Yorkshire and the Humber,2022-2023,Mechanical Engineering (Undergraduate),Undergraduate,Mechanical Engineering,3378,2751,2239,0.81,0.81,73.54,5.52,20.94,37925,Legal,29029,6.61,0.83,89.8
Imperial College London,Yorkshire and the Humber,2018-2019,Psychology (Undergraduate),Undergraduate,Psychology,4784,3447,2632,0.72,0.76,68.7,12.6,18.7,30887,IT,26489,6.43,0.76,78.74
Imperial College London,Yorkshire and the Humber,2019-2020,Psychology (Undergraduate),Undergraduate,Psychology,1688,1350,983,0.8,0.73,84.35,17.45,-1.8,40607,Science,19875,38.73,1.25,80.34
Imperial College London,Yorkshire and the Humber,2020-2021,Psychology (Undergraduate),Undergraduate,Psychology,4554,3956,3314,0.87,0.84,65.73,10.56,23.71,46601,Engineering,36253,18.72,1.02,67.46
Imperial College London,Yorkshire and the Humber,2021-2022,Psychology (Undergraduate),Undergraduate,Psychology,4585,2662,2181,0.58,0.82,62.84,10.13,27.03,38425,Legal,21076,20.06,1.2,73.46
Imperial College London,Yorkshire and the Humber,2022-2023,Psychology (Postgraduate),Postgraduate,Psychology,1000,736,497,0.74,0.68,92.16,8.56,-0.72,44919,Finance,23423,16.4,0.92,71.76
Imperial College London,Yorkshire and the Humber,2018-2019,Medicine (Undergraduate),Undergraduate,Medicine,4060,2818,1973,0.69,0.7,62.52,16.54,20.94,39494,Engineering,22225,10.74,1.18,80.26
Imperial College London,Yorkshire and the Humber,2019-2020,Medicine (Postgraduate),Postgraduate,Medicine,348,217,166,0.62,0.76,86.86,18.86,-5.72,40365,Engineering,37152,7.81,1,70.92
Imperial College London,Yorkshire and the Humber,2020-2021,Medicine (Postgraduate),Postgraduate,Medicine,881,634,594,0.72,0.94,74.96,19.71,5.33,34110,Finance,16948,5.65,0.71,64.47
Imperial College London,Yorkshire and the Humber,2021-2022,Medicine (Postgraduate),Postgraduate,Medicine,4843,2866,2370,0.59,0.83,70.97,16.51,12.52,24908,Engineering,15725,11.55,1.19,82.47
Imperial College London,Yorkshire and the Humber,2022-2023,Medicine (Undergraduate),Undergraduate,Medicine,1010,592,441,0.59,0.74,83.83,8.72,7.45,27591,Finance,22692,19.44,1.28,87.14
